Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences,month,month_name
2004051452069,2004-03-12 00:00:00,2004-02-01 00:00:00,F,Foreign airport,Air France,Property Damage,Checked Baggage,Luggage (all types including footlockers),1259.03,Denied,0.0,Deny,40.0,1259.03,2.0,February
2007092732678,2007-09-24 00:00:00,2007-09-09 00:00:00,DAB,Daytona Beach International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1900.0,Denied,0.0,Deny,15.0,1900.0,9.0,September
1014000M,2003-10-14 00:00:00,2003-10-07 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,2375.0,Denied,0.0,Deny,7.0,2375.0,10.0,October
2007071328300,2007-07-09 00:00:00,2007-06-15 00:00:00,LGA,LaGuardia,American Airlines,Property Damage,Checked Baggage,Cameras - Digital,1000.0,Denied,0.0,Deny,24.0,1000.0,6.0,June
2005010673033,2004-12-14 00:00:00,2004-10-25 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,2921.53,Settled,2041.11,Settle,50.0,880.4200000000003,10.0,October
1205163M,2003-12-05 00:00:00,2003-08-18 00:00:00,RSW,Southwest Florida International,Delta Air Lines,Property Damage,Checkpoint,Computer - Laptop,1814.74,Settled,834.0,Settle,109.0,980.74,8.0,August
0805052M,2003-08-05 00:00:00,2003-07-05 00:00:00,FLL,Ft. Lauderdale-Hollywood International,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2400.0,Settled,1110.0,Settle,31.0,1290.0,7.0,July
2008072447274,2008-07-17 00:00:00,2008-07-06 00:00:00,EWR,Newark International Airport,Air India,Passenger Property Loss,Checked Baggage,Bags - Fabric; plastic; etc. (not purses); Computer - Laptop; MP3 Players-(iPods; etc),1050.0,Denied,0.0,Deny,11.0,1050.0,7.0,July
2006090712124,2006-08-30 00:00:00,2006-08-11 00:00:00,PHL,Philadelphia International Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,3000.0,Settled,683.6,Settle,19.0,2316.4,8.0,August
2005012874751,2005-01-11 00:00:00,2005-01-02 00:00:00,SAN,San Diego International,UAL,Passenger Property Loss,Checked Baggage,Computer - Laptop,2557.43,Settled,1018.66,Settle,9.0,1538.77,1.0,January
2009052159361,2009-05-19 00:00:00,2009-04-06 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1197.93,Denied,0.0,Deny,43.0,1197.93,4.0,April
2004091562929,2004-08-03 00:00:00,2004-07-13 00:00:00,MDW,Midway International Airport,America Trans Air,Passenger Property Loss,Checked Baggage,Jewelry - Fine,2250.0,Denied,0.0,Deny,21.0,2250.0,7.0,July
2008011037714,2008-01-03 00:00:00,2007-11-13 00:00:00,MEM,Memphis International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Jewelry - Fine,2826.0,Denied,0.0,Deny,51.0,2826.0,11.0,November
2007032022545,2007-03-20 00:00:00,2007-03-03 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cell Phones; Watches - Inexpensive $100 or less,2000.0,Denied,0.0,Deny,17.0,2000.0,3.0,March
2008022039785,2008-02-11 00:00:00,2007-12-30 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers); Other,1691.0,Denied,0.0,Deny,43.0,1691.0,12.0,December
2008022039812,2008-02-08 00:00:00,2008-01-19 00:00:00,PWM,Portland International Jetport,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry - Fine,3500.0,Denied,0.0,Deny,20.0,3500.0,1.0,January
2005032980361,2005-03-16 00:00:00,2004-12-20 00:00:00,CLE,Cleveland Hopkins International,Continental Airlines,Property Damage,Checkpoint,Computer - Laptop,1190.74,Denied,0.0,Deny,86.0,1190.74,12.0,December
2006112216085,2006-11-17 00:00:00,2006-07-26 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checkpoint,Computer - Laptop,1200.0,Settled,75.0,Settle,114.0,1125.0,7.0,July
2007110734632,2007-10-31 00:00:00,2007-09-22 00:00:00,PHX,Phoenix Sky Harbor International,Continental Airlines,Property Damage,Checkpoint,Computer - Laptop,1349.99,Settled,375.0,Settle,39.0,974.99,9.0,September
2007021320877,2007-02-09 00:00:00,2006-12-30 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.; Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Currency; Other,1287.0,Denied,0.0,Deny,41.0,1287.0,12.0,December
2005101294377,2005-07-11 00:00:00,2005-02-01 00:00:00,MCO,Orlando International Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,2600.0,Denied,0.0,Deny,160.0,2600.0,2.0,February
2004101965165,2004-10-04 00:00:00,2004-07-10 00:00:00,RSW,Southwest Florida International,AirTran Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,1550.0,Denied,0.0,Deny,86.0,1550.0,7.0,July
2007020620263,2007-01-31 00:00:00,2006-12-31 00:00:00,LGA,LaGuardia,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,858.0,Denied,0.0,Deny,31.0,858.0,12.0,December
2006020901274,2006-02-03 00:00:00,2006-01-23 00:00:00,EWR,Newark International Airport,LOT Polish Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,909.49,Denied,0.0,Deny,11.0,909.49,1.0,January
0916042M,2003-09-16 00:00:00,2003-07-07 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Personal Injury,Checkpoint,Clothing - Shoes; belts; accessories; etc.,135000.0,Settled,9000.0,Settle,71.0,126000.0,7.0,July
2006062608532,2006-06-23 00:00:00,2006-04-10 00:00:00,PHX,Phoenix Sky Harbor International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Jewelry - Fine; Other,2000.0,Denied,0.0,Deny,74.0,2000.0,4.0,April
2006012099898,2006-01-12 00:00:00,2005-12-17 00:00:00,STT,Cyril E. King International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,4500.0,Denied,0.0,Deny,26.0,4500.0,12.0,December
2008052744808,2008-05-28 00:00:00,2008-05-19 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,1617.0,Denied,0.0,Deny,9.0,1617.0,5.0,May
2006121517309,2006-12-04 00:00:00,2006-11-24 00:00:00,ORD,Chicago O'Hare International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1484.7,Denied,0.0,Deny,10.0,1484.7,11.0,November
2006053107097,2006-05-25 00:00:00,2006-03-23 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Medical Equipment & Insturments,920.0,Denied,0.0,Deny,63.0,920.0,3.0,March
2005062286897,2005-06-13 00:00:00,2005-05-07 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Continental Airlines,Property Damage,Checked Baggage,Other,899.94,Denied,0.0,Deny,37.0,899.94,5.0,May
2007021220732,2007-02-12 00:00:00,2007-01-28 00:00:00,PHX,Phoenix Sky Harbor International,American Airlines,Passenger Property Loss,Checked Baggage,Watches - Expensive more than $100,898.0,Denied,0.0,Deny,15.0,898.0,1.0,January
2004080360398,2004-07-12 00:00:00,2004-06-27 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,AirTran Airlines,Property Damage,Checkpoint,Computer - Laptop,2500.0,Denied,0.0,Deny,15.0,2500.0,6.0,June
2009010854266,2009-02-16 00:00:00,2008-08-30 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Computer - Laptop,1200.89,Denied,0.0,Deny,170.0,1200.89,8.0,August
2007042024302,2007-04-20 00:00:00,2007-03-16 00:00:00,GEG,Spokane International,Alaska Airlines,Property Damage,Checkpoint,Watches - Expensive more than $100,4200.0,Denied,0.0,Deny,35.0,4200.0,3.0,March
2009062260496,2009-06-17 00:00:00,2009-05-27 00:00:00,BOS,Boston (Logan) International Airport,Swiss Air,Passenger Property Loss,Checked Baggage,Computer - Laptop,1994.74,Denied,0.0,Deny,21.0,1994.74,5.0,May
2004051251442,2004-03-22 00:00:00,2004-03-07 00:00:00,TPA,Tampa International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2858.27,Settled,1991.59,Settle,15.0,866.6800000000001,3.0,March
2006022302063,2006-02-17 00:00:00,2006-01-01 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,1300.0,Denied,0.0,Deny,47.0,1300.0,1.0,January
2008070146451,2008-06-27 00:00:00,2008-03-23 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1209.0,Denied,0.0,Deny,96.0,1209.0,3.0,March
2007072328837,2007-07-19 00:00:00,2007-07-04 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Passenger Property Loss,Checkpoint,Handbags & Purses (leather or fabric); Jewelry - Fine; Other,3703.0,Denied,0.0,Deny,15.0,3703.0,7.0,July
2005032880042,2005-03-07 00:00:00,2004-11-23 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Currency,3000.0,Denied,0.0,Deny,104.0,3000.0,11.0,November
2009052059122,2009-05-08 00:00:00,2009-05-01 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),3725.0,Denied,0.0,Deny,7.0,3725.0,5.0,May
2007082730913,2007-08-27 00:00:00,2007-07-28 00:00:00,SLC,Salt Lake City International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,3200.0,Denied,0.0,Deny,30.0,3200.0,7.0,July
2008030440396,2008-02-25 00:00:00,2007-02-17 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer - Laptop,899.99,Denied,0.0,Deny,373.0,899.99,2.0,February
2009100564328,2009-10-01 00:00:00,2009-09-26 00:00:00,DCA,Ronald Reagan Washington National Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1000.0,Denied,0.0,Deny,5.0,1000.0,9.0,September
2005040581503,2005-04-01 00:00:00,2005-03-10 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,1385.0,Denied,0.0,Deny,22.0,1385.0,3.0,March
2008112452709,2008-12-08 00:00:00,2008-11-05 00:00:00,ORF,Norfolk International,UAL,Passenger Property Loss,Checked Baggage,Computer - Laptop,2500.0,Denied,0.0,Deny,33.0,2500.0,11.0,November
2005122898463,2005-12-19 00:00:00,2005-11-07 00:00:00,MDW,Midway International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1833.0,Denied,0.0,Deny,42.0,1833.0,11.0,November
2006081611122,2006-08-11 00:00:00,2006-07-14 00:00:00,GUM,Guam,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Locks; Luggage (all types including footlockers),1132.0,Denied,0.0,Deny,28.0,1132.0,7.0,July
2006122017580,2006-12-14 00:00:00,2006-11-07 00:00:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checkpoint,Computer - Laptop,1000.0,Denied,0.0,Deny,37.0,1000.0,11.0,November
